,name,link,orgnr,info1,info2,info3
40,F.L. El AB,https://kreditrapporten.se/kreditupplysning/5590321096/f-l--el-ab,5590321096,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - <span title=""Företaget har postadress i Sollentuna"">Sollentuna</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Sollentuna Kommun"">Sollentuna Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  14 473 tkr - 11 anställda</div>"
41,Betongfabriken i Stockholm AB,https://kreditrapporten.se/kreditupplysning/5569427825/betongfabriken-i-stockholm-ab,5569427825,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-09 - <span title=""Företaget har postadress i Glumslöv"">Glumslöv</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Landskrona Kommun"">Landskrona Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  14 294 tkr - 2 anställda</div>"
42,Stockholm Solid Montage Byggnadsställningar AB,https://kreditrapporten.se/kreditupplysning/5590159140/stockholm-solid-montage-byggnadsstallningar-ab,5590159140,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - <span title=""Företaget har postadress i Sollentuna"">Sollentuna</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Sollentuna Kommun"">Sollentuna Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 956 tkr - 30 anställda</div>"
43,M7-gruppen AB,https://kreditrapporten.se/kreditupplysning/5569819377/m7-gruppen-ab,5569819377,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-24 - <span title=""Företaget har postadress i Mölndal"">Mölndal</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Göteborgs Kommun"">Göteborgs Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 806 tkr - 11 anställda</div>"
44,Multi Flame Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564499803/multi-flame-aktiebolag,5564499803,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-30 - <span title=""Företaget har postadress i Staffanstorp"">Staffanstorp</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Hässleholms Kommun"">Hässleholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 733 tkr - 8 anställda</div>"
45,TM Bemanning och Konsult AB,https://kreditrapporten.se/kreditupplysning/5590064852/tm-bemanning-och-konsult-ab,5590064852,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-28 - <span title=""Företaget har postadress i Skara"">Skara</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Falköpings Kommun"">Falköpings Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 682 tkr - 2 anställda</div>"
46,Boiertz Conditori i Höör Aktiebolag,https://kreditrapporten.se/kreditupplysning/5562185099/boiertz-conditori-i-hoor-aktiebolag,5562185099,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Höör"">Höör</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Höörs Kommun"">Höörs Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 577 tkr - 18 anställda</div>"
47,Locked Knuckles Sports AB,https://kreditrapporten.se/kreditupplysning/5590194931/locked-knuckles-sports-ab,5590194931,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Örnsköldsvik"">Örnsköldsvik</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Örnsköldsviks Kommun"">Örnsköldsviks Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 369 tkr - 6 anställda</div>"
48,Svensk Elteknik i Linköping AB,https://kreditrapporten.se/kreditupplysning/5590376041/svensk-elteknik-i-linkoping-ab,5590376041,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - <span title=""Företaget har postadress i Linköping"">Linköping</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Linköpings Kommun"">Linköpings Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 173 tkr - 11 anställda</div>"
49,Matfabrikören Sverige AB,https://kreditrapporten.se/kreditupplysning/5569626897/matfabrikoren-sverige-ab,5569626897,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-27 - <span title=""Företaget har postadress i Varberg"">Varberg</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Varbergs Kommun"">Varbergs Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 109 tkr - 19 anställda</div>"
